Zipcode,Neighborhood,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Home Value,Persons with Bachelor Degree,People in Labor Force,People Unemployed,Unemployment Rate
23806,Ettrick,2061.0,19.6,-666666666.0,2761.0,0.0,0.0,-666666666.0,9.0,772.0,378.0,48.96373056994819
23830,Carson,1106.0,53.5,58825.0,27070.0,30.0,2.7124773960217,158800.0,18.0,649.0,28.0,4.314329738058552
23831,Chester,33130.0,38.5,66239.0,30510.0,2330.0,7.032900694234833,222500.0,4085.0,17942.0,1235.0,6.883290603054286
23832,Chesterfield,32263.0,37.2,75942.0,31379.0,1531.0,4.745373957784459,221300.0,4691.0,17806.0,1268.0,7.121195102774347
23833,Church Road,2501.0,41.9,53684.0,22613.0,287.0,11.475409836065571,182000.0,115.0,1207.0,181.0,14.99585749792875
23834,Colonial Heights,25887.0,39.7,54548.0,27787.0,2411.0,9.313555066249467,190700.0,2303.0,12995.0,1040.0,8.003078106964217
23836,Chester,11222.0,40.8,83433.0,38295.0,602.0,5.364462662626983,228500.0,1540.0,6241.0,409.0,6.553436949206858
23838,Chesterfield,16186.0,43.1,103059.0,39737.0,490.0,3.0273075497343385,315700.0,2445.0,8941.0,520.0,5.8159042612683125
23840,DeWitt,1835.0,39.6,49010.0,21124.0,278.0,15.149863760217984,139500.0,46.0,788.0,72.0,9.137055837563453
23841,Dinwiddie,4190.0,44.8,51074.0,20347.0,448.0,10.692124105011931,180500.0,289.0,1820.0,165.0,9.065934065934067
23842,Disputanta,7090.0,43.9,73041.0,27055.0,445.0,6.276445698166431,209600.0,692.0,3607.0,232.0,6.431937898530634
23850,Ford,743.0,36.4,46364.0,21442.0,192.0,25.84118438761777,82300.0,19.0,306.0,63.0,20.58823529411765
23860,Hopewell,30917.0,36.8,40609.0,20406.0,4562.0,14.75563605783226,147000.0,1461.0,13240.0,2199.0,16.608761329305135
23872,Mc Kenney,2263.0,43.4,40351.0,26898.0,428.0,18.912947414935925,127100.0,169.0,1279.0,111.0,8.67865519937451
23875,Prince George,10714.0,40.4,62416.0,27479.0,1164.0,10.864289714392383,196100.0,860.0,5406.0,502.0,9.28597854236034
23882,Stony Creek,2071.0,38.7,47422.0,23240.0,83.0,4.007725736359247,125000.0,186.0,949.0,68.0,7.165437302423603
23884,Sussex,89.0,65.2,165234.0,41490.0,0.0,0.0,184900.0,8.0,26.0,0.0,0.0
23885,Sutherland,2539.0,49.7,75625.0,31762.0,234.0,9.216226860968886,208800.0,185.0,1415.0,95.0,6.713780918727915
23888,Wakefield,1941.0,45.3,40000.0,20256.0,292.0,15.043791859866051,120100.0,133.0,835.0,61.0,7.3053892215568865
23890,Waverly,4697.0,43.0,38663.0,17402.0,857.0,18.245688737492014,108900.0,197.0,1885.0,137.0,7.267904509283818
23891,Waverly,2183.0,35.2,-666666666.0,4756.0,0.0,0.0,-666666666.0,17.0,4.0,0.0,0.0
23894,Wilsons,453.0,41.9,72143.0,29515.0,31.0,6.843267108167771,181000.0,97.0,187.0,20.0,10.695187165775401
23897,Yale,605.0,55.2,49602.0,26401.0,44.0,7.272727272727272,116400.0,19.0,233.0,0.0,0.0
